name,x,y,z
chair_l1,3513.289871,5367.553368,0
chair_l2,3699.2088,5917.798795,0
chair_r1,3953.289871,5367.553368,0
chair_r2,4139.2088,5917.798795,0
line_l,3253.102064,2327.696348,0
line_r,4361.42493,2327.696348,0
obstacle_r1,4410.031308,1827.492627,0
obstacle_r2,4410.031308,0,0
obstacle_l1,3055.235841,1827.492627,0
obstacle_l2,3055.235841,0,0
