"","subject","keypoint","condition","trial","distance.sum","max.frame.count","min.frame.count","tracked_data_count","prop_tracked_data","median_err","mean.distance.chair.owner","min.distance.chair.owner","prop_chair_owner","area_covered","tail_angle_mean","tail_angle_median","tail_angle_prop_tracked","head_angle_mean","head_angle_median","head_angle_prop_tracked"
"1","Abby2","head_centre","blocked",1,7895.24009179554,1916,1045,872,1,6.49870319956816,3584.28264214077,3312.33264255343,0,0.0333333333333333,-54.2236034450462,-135.37658055503,0.993119266055046,-11.5676131613059,-82.3366822935254,1
"2","Abby2","head_centre","blocked",2,6065.53833180266,3335,2459,877,1,13.3022970179401,4243.74721911763,3556.28745174137,0,0.0333333333333333,-70.1674151231042,-105.277476487061,0.998859749144812,-39.9135778667822,-129.040902892443,0.997719498289624
"3","Abby2","head_centre","blocked",3,4938.2083540823,4726,3824,903,1,7.53496701574424,3570.67384017591,3451.90210644732,0,0.0166666666666667,-97.4158312909014,-156.592602023825,1,35.6973872906567,112.478492848716,1
"4","Abby2","head_centre","blocked",4,7214.83552418217,6116,5231,886,1,11.4341385578932,4011.63440564372,3389.43289518389,0,0.0388888888888889,-0.749566621451412,-100.893658668711,0.993227990970655,24.4947137238566,118.834043344303,1
"5","Abby2","head_centre","clumsy",1,5758.034841694,1916,1062,855,1,4.56544390029574,3611.1452671675,3567.91043728072,0,0.0222222222222222,97.7153042454508,130.906548887403,1,-20.6452930194761,-164.252138648242,1
"6","Abby2","head_centre","clumsy",2,12173.2624919074,3670,2617,1054,1,6.14509904741933,3694.65014361578,3451.76026616825,0,0.05,-80.9741943612504,-136.073850713952,0.993358633776091,89.2221811117868,142.796359607314,0.998102466793169
"7","Abby2","head_centre","clumsy",3,8236.64046895622,5009,4195,815,1,9.15891211872578,4046.29876349428,3464.55535879153,0,0.0388888888888889,-78.2122003873911,-144.550102172134,1,8.64119274112563,100.454054756032,1
"8","Abby2","head_centre","clumsy",4,6734.95116236416,6269,5464,806,1,10.5152476827161,4062.9714687995,3574.16429851773,0,0.0388888888888889,-58.4872053754528,-102.452485810596,0.995037220843672,16.9429525522793,118.117633747448,1
"9","Abby2","head_centre","teasing",1,6943.50759393938,1897,1085,813,1,5.71605041717414,3605.72152603275,3350.89160895588,0,0.0388888888888889,-70.7867084498509,-121.826296554752,0.98769987699877,96.2542631361329,129.308083555794,0.997539975399754
"10","Abby2","head_centre","teasing",2,13556.8846589217,3206,2481,726,1,6.04881600387571,2777.74320185347,736.823758615407,0.205234159779614,0.0888888888888889,19.6429674497079,116.149522653524,1,-42.3493202694944,-113.582272046449,0.973829201101928
"11","Abby2","head_centre","teasing",3,4091.82273240148,4585,3818,768,1,6.86234950878966,3575.91586184141,3452.94919706509,0,0.0166666666666667,-73.1886474030129,-152.135102336142,1,42.1536950728251,120.447517946903,1
"12","Abby2","head_centre","teasing",4,10347.2826970185,5984,5248,737,1,6.5017792008344,3086.65111365855,524.592170885991,0.0922659430122117,0.0888888888888889,-98.4526995631176,-138.606251488149,0.997286295793758,102.737352848907,141.441522420424,1
"13","Abby2","snout","blocked",1,10493.1416447885,1916,1045,872,1,6.83466857336146,3648.38761362717,3180.92468859623,0,NA,-54.2236034450462,-135.37658055503,0.993119266055046,-11.5676131613059,-82.3366822935254,1
"14","Abby2","snout","blocked",2,14023.6477723511,3335,2459,875,0.997719498289624,20.0160383193004,4242.12565894261,3667.84359281306,0,NA,-70.1674151231042,-105.277476487061,0.998859749144812,-39.9135778667822,-129.040902892443,0.997719498289624
"15","Abby2","snout","blocked",3,9215.95527668798,4726,3824,903,1,7.89484143198018,3662.17517159849,3412.05309189816,0,NA,-97.4158312909014,-156.592602023825,1,35.6973872906567,112.478492848716,1
"16","Abby2","snout","blocked",4,12783.8576805887,6116,5231,886,1,14.364992128818,4033.94843765132,3282.38503069337,0,NA,-0.749566621451412,-100.893658668711,0.993227990970655,24.4947137238566,118.834043344303,1
"17","Abby2","snout","clumsy",1,8840.67938006202,1916,1062,855,1,5.58596718798799,3719.37295835955,3626.84459887729,0,NA,97.7153042454508,130.906548887403,1,-20.6452930194761,-164.252138648242,1
"18","Abby2","snout","clumsy",2,17384.7486938817,3670,2617,1052,0.998102466793169,6.97158389702196,3767.57190626532,3425.49962880379,0,NA,-80.9741943612504,-136.073850713952,0.993358633776091,89.2221811117868,142.796359607314,0.998102466793169
"19","Abby2","snout","clumsy",3,14103.4163477917,5009,4195,815,1,14.5254956025553,4095.8044149541,3459.57239836567,0,NA,-78.2122003873911,-144.550102172134,1,8.64119274112563,100.454054756032,1
"20","Abby2","snout","clumsy",4,11520.1544283767,6269,5464,806,1,14.2552639107578,4090.24333826332,3678.36847276657,0,NA,-58.4872053754528,-102.452485810596,0.995037220843672,16.9429525522793,118.117633747448,1
"21","Abby2","snout","teasing",1,8260.72083430003,1897,1085,811,0.997539975399754,5.58108289079722,3718.50905114702,3221.85095580606,0,NA,-70.7867084498509,-121.826296554752,0.98769987699877,96.2542631361329,129.308083555794,0.997539975399754
"22","Abby2","snout","teasing",2,18657.951015762,3206,2481,707,0.973829201101928,6.12908909435625,2823.80348817293,616.731019184551,0.203856749311295,NA,19.6429674497079,116.149522653524,1,-42.3493202694944,-113.582272046449,0.973829201101928
"23","Abby2","snout","teasing",3,6535.46080155949,4585,3818,768,1,6.80678284716148,3673.59656806166,3426.1383657326,0,NA,-73.1886474030129,-152.135102336142,1,42.1536950728251,120.447517946903,1
"24","Abby2","snout","teasing",4,13481.9586377564,5984,5248,737,1,7.62820167513583,3137.45978293647,336.421235649774,0.0936227951153324,NA,-98.4526995631176,-138.606251488149,0.997286295793758,102.737352848907,141.441522420424,1
"25","Abby2","tail_base","blocked",1,6948.56281268356,1916,1045,872,1,9.53271533461676,3290.19247168111,2751.67996211868,0,NA,-54.2236034450462,-135.37658055503,0.993119266055046,-11.5676131613059,-82.3366822935254,1
"26","Abby2","tail_base","blocked",2,4619.72126186629,3335,2459,877,1,20.4962238550334,4221.27414176998,2873.68714580329,0,NA,-70.1674151231042,-105.277476487061,0.998859749144812,-39.9135778667822,-129.040902892443,0.997719498289624
"27","Abby2","tail_base","blocked",3,2729.56380132675,4726,3824,903,1,10.7496464477482,2944.72059209035,2864.21549292936,0,NA,-97.4158312909014,-156.592602023825,1,35.6973872906567,112.478492848716,1
"28","Abby2","tail_base","blocked",4,4765.14000833491,6116,5231,886,1,18.7451049547559,3831.51909159426,2925.46800570139,0,NA,-0.749566621451412,-100.893658668711,0.993227990970655,24.4947137238566,118.834043344303,1
"29","Abby2","tail_base","clumsy",1,3090.37057619157,1916,1062,855,1,7.86087654358772,2870.91376715155,2848.27337314141,0,NA,97.7153042454508,130.906548887403,1,-20.6452930194761,-164.252138648242,1
"30","Abby2","tail_base","clumsy",2,6422.17803080348,3670,2617,1054,1,9.93003747491539,3118.51551827051,2822.22738072755,0,NA,-80.9741943612504,-136.073850713952,0.993358633776091,89.2221811117868,142.796359607314,0.998102466793169
"31","Abby2","tail_base","clumsy",3,4243.61582511168,5009,4195,815,1,11.0881357057694,3882.43567588398,3180.11585340906,0,NA,-78.2122003873911,-144.550102172134,1,8.64119274112563,100.454054756032,1
"32","Abby2","tail_base","clumsy",4,4629.01722815911,6269,5464,806,1,20.3635706629301,3938.356319544,2836.77608893406,0,NA,-58.4872053754528,-102.452485810596,0.995037220843672,16.9429525522793,118.117633747448,1
"33","Abby2","tail_base","teasing",1,5622.50697830387,1897,1085,813,1,8.86853494343918,3310.33162582415,2946.32980289651,0,NA,-70.7867084498509,-121.826296554752,0.98769987699877,96.2542631361329,129.308083555794,0.997539975399754
"34","Abby2","tail_base","teasing",2,10425.8805228709,3206,2481,726,1,9.97640340458809,2521.91378807944,1031.87252000451,0.15702479338843,NA,19.6429674497079,116.149522653524,1,-42.3493202694944,-113.582272046449,0.973829201101928
"35","Abby2","tail_base","teasing",3,2307.67643033458,4585,3818,768,1,10.5530195974006,2927.93334958644,2886.02177275789,0,NA,-73.1886474030129,-152.135102336142,1,42.1536950728251,120.447517946903,1
"36","Abby2","tail_base","teasing",4,6707.444193959,5984,5248,737,1,8.5583553502094,2624.15551702993,925.712656170429,0.0868385345997286,NA,-98.4526995631176,-138.606251488149,0.997286295793758,102.737352848907,141.441522420424,1
"37","Abby2","tail_tip","blocked",1,22094.2573808472,1916,1045,866,0.993119266055046,9.65135189378961,3283.88488518087,2668.22562514246,0,NA,-54.2236034450462,-135.37658055503,0.993119266055046,-11.5676131613059,-82.3366822935254,1
"38","Abby2","tail_tip","blocked",2,11991.0963884565,3335,2459,876,0.998859749144812,19.7107762960557,4272.83275167183,2813.90686051799,0,NA,-70.1674151231042,-105.277476487061,0.998859749144812,-39.9135778667822,-129.040902892443,0.997719498289624
"39","Abby2","tail_tip","blocked",3,4333.07736709184,4726,3824,903,1,6.14164684598451,2910.10330820884,2757.86594024521,0,NA,-97.4158312909014,-156.592602023825,1,35.6973872906567,112.478492848716,1
"40","Abby2","tail_tip","blocked",4,12107.5341896576,6116,5231,880,0.993227990970655,8.70205739141315,3840.0750125521,2879.40505635094,0,NA,-0.749566621451412,-100.893658668711,0.993227990970655,24.4947137238566,118.834043344303,1
"41","Abby2","tail_tip","clumsy",1,10211.9500655817,1916,1062,855,1,7.70884912301835,2839.65759497701,2742.040996679,0,NA,97.7153042454508,130.906548887403,1,-20.6452930194761,-164.252138648242,1
"42","Abby2","tail_tip","clumsy",2,9790.86174853759,3670,2617,1047,0.993358633776091,7.08899215744165,3091.55582676338,2753.99289739365,0,NA,-80.9741943612504,-136.073850713952,0.993358633776091,89.2221811117868,142.796359607314,0.998102466793169
