,Estimate,SE,LowerCI,UpperCI,Chi2,df,p_LRT,z,p
(Intercept),-2.22,0.11,-2.44,-2.02,,,,-21.01,0
conditionclumsy,-0.11,0.11,-0.3,0.1,16.47,2,0,-1,0.315
conditionteasing,0.33,0.11,0.1,0.54,,,,2.96,0.003
z.trial,0.01,0.05,-0.08,0.1,0.05,1,0.829,0.22,0.829
z.order,-0.01,0.04,-0.09,0.08,0.05,1,0.821,-0.23,0.821
z.age,-0.01,0.04,-0.1,0.08,0.02,1,0.886,-0.14,0.886
sexM,0,0.09,-0.18,0.19,0,1,0.999,0,0.999
