"","Estimate","SE","LowerCI","UpperCI","z","p","Chi2","df","p_LRT"
"(Intercept)"," 0.88","0.50"," 0.02"," 2.07"," 1.77","0.076","   NA",NA,"   NA"
"conditionclumsy","-2.77","0.45","-4.10","-2.12","-6.20","0.000","35.67",2,"0.000"
"conditionteasing","-1.22","0.55","-2.47","-0.23","-2.21","0.027","   NA",NA,"   NA"
"z.trial"," 0.83","0.15"," 0.56"," 1.20"," 5.60","0.000","28.75",1,"0.000"
"z.order","-0.36","0.21","-0.83"," 0.01","-1.77","0.077"," 2.98",1,"0.084"
"z.age"," 0.42","0.28","-0.20"," 1.05"," 1.50","0.133"," 2.28",1,"0.131"
"sexM"," 0.11","0.62","-1.09"," 1.34"," 0.18","0.856"," 0.03",1,"0.856"
