date,subject,condition,Start,Start_Frame,Stop,Stop_Frame,duration,subject2,Behaviour,Value,trial
19/05/2021,Dunni,blocked,214.7331787,6442,247.5664884,7427,32.83330969,Dunni,trial,2,2
19/05/2021,Dunni,blocked,223.1331727,6694,,,,Dunni,look_away,look_away,2
19/05/2021,Dunni,blocked,226.6331701,6799,,,,Dunni,look_away,look_away,2
19/05/2021,Dunni,blocked,235.2664973,7058,238.2331618,7147,2.966664531,Dunni,sitting_laying_down,front_down,2
19/05/2021,Dunni,blocked,239.5998275,7188,,,,Dunni,look_away,look_away,2
19/05/2021,Dunni,blocked,241.7664926,7253,247.5664884,7427,5.799995824,Dunni,misc,lateral_approach,2
19/05/2021,Dunni,blocked,242.4331588,7273,247.5664884,7427,5.133329637,Dunni,time_away,walk_away,2
19/05/2021,Dunni,blocked,294.2664548,8828,327.6664307,9830,33.39997595,Dunni,trial,3,3
19/05/2021,Dunni,blocked,306.1997795,9186,,,,Dunni,look_away,look_away,3
19/05/2021,Dunni,blocked,312.9997746,9390,316.8331052,9505,3.833330573,Dunni,misc,pawing,3
19/05/2021,Dunni,blocked,319.6331032,9589,320.8997689,9627,1.266665755,Dunni,misc,pawing,3
19/05/2021,Dunni,blocked,382.2330581,11467,420.3330307,12610,38.09997257,Dunni,trial,4,4
19/05/2021,Dunni,blocked,388.8330534,11665,392.1663843,11765,3.333330933,Dunni,misc,pawing,4
19/05/2021,Dunni,blocked,398.9330461,11968,400.2997118,12009,1.366665683,Dunni,misc,pawing,4
19/05/2021,Dunni,blocked,402.4330436,12073,403.9997091,12120,1.566665539,Dunni,sitting_laying_down,front_down,4
