"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-1.23","0.48","-2.33","-0.35","   NA",NA,"   NA",-2.54711275562351,0.0108618330830021
"conditionclumsy","-2.76","0.60","-4.35","-1.83","26.94",2,"0.000",-4.58876397354093,4.45878219222081e-06
"conditionteasing","-0.75","0.37","-1.56","-0.09","   NA",NA,"   NA",-2.01124879373134,0.0442991842335973
"z.trial"," 0.74","0.15"," 0.45"," 1.10","24.97",1,"0.000",4.93171019487201,8.15127904624322e-07
"z.order"," 0.15","0.18","-0.21"," 0.51"," 0.64",1,"0.425",0.796944430499984,0.425483305282447
"z.age"," 0.32","0.33","-0.36"," 0.95"," 0.97",1,"0.326",0.97841380762789,0.327869701859461
"sexM"," 0.09","0.70","-1.37"," 1.49"," 0.02",1,"0.902",0.12305829166865,0.902060938607915
