"","keypoint","mean(prop_tracked_data)","median(prop_tracked_data)","min(prop_tracked_data)","max(prop_tracked_data)","mean(median_err, na.rm = TRUE)"
"1","head_centre",0.990446041033012,1,0.783147459727385,1,6.52612660613063
"2","snout",0.973038341936291,0.997045629102081,0.571751412429379,1,8.43400346379607
"3","tail_base",0.976215041606203,1,0.0175644028103044,1,7.9847471930363
"4","tail_tip",0.93446723566833,0.997766510621538,0,1,9.66879863929047
