"","Estimate","SE","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-2.84","0.10","   NA",NA,"   NA",-28.8488586282361,5.23669301484732e-183
"conditionclumsy","-0.71","0.08","63.12",2,"0.000",-9.10616918352269,8.53421981444285e-20
"conditionteasing","-0.40","0.07","   NA",NA,"   NA",-5.43240873105699,5.55983923446521e-08
"z.trial"," 0.10","0.02","17.10",1,"0.000",4.52678072176548,5.98890261963778e-06
"z.order","-0.11","0.03","10.92",1,"0.001",-3.47103704045874,0.000518452478640559
"z.age"," 0.02","0.07"," 0.05",1,"0.832",0.21229404432841,0.831877641481309
"sexM"," 0.18","0.15"," 1.30",1,"0.254",1.1511145153188,0.249685127164203
