"","Estimate","SE","LowerCI","UpperCI","z","p","Chi2","df","p_LRT"
"(Intercept)","-2.22","0.11","-2.44","-2.02","-21.01","0.000","   NA","","   NA"
"conditionclumsy","-0.11","0.11","-0.33"," 0.11"," -1.00","0.315","16.47","2","0.000"
"conditionteasing"," 0.33","0.11"," 0.11"," 0.54","  2.96","0.003","   NA","","   NA"
"z.trial"," 0.01","0.05","-0.08"," 0.10","  0.22","0.829"," 0.05","1","0.829"
"z.order","-0.01","0.04","-0.10"," 0.08"," -0.23","0.821"," 0.05","1","0.821"
"z.age","-0.01","0.04","-0.10"," 0.08"," -0.14","0.886"," 0.02","1","0.886"
"sexM"," 0.00","0.09","-0.17"," 0.18","  0.00","0.999"," 0.00","1","0.999"
