"","Estimate","SE","LowerCI","UpperCI","z","p","Chi2","df","p_LRT"
"(Intercept)","-0.94","0.16","-1.26","-0.66","-5.98","0.000","   NA","","   NA"
"conditionclumsy","-1.21","0.14","-1.48","-0.97","-8.83","0.000","84.51","2","0.000"
"conditionteasing","-0.63","0.16","-0.96","-0.33","-3.89","0.000","   NA","","   NA"
"z.trial"," 0.25","0.05"," 0.16"," 0.34"," 5.44","0.000","27.25","1","0.000"
"z.order","-0.16","0.06","-0.26","-0.04","-2.79","0.005"," 7.33","1","0.007"
"z.age"," 0.06","0.10","-0.15"," 0.27"," 0.56","0.578"," 0.31","1","0.579"
"sexM"," 0.24","0.22","-0.18"," 0.66"," 1.09","0.274"," 1.18","1","0.277"
