"","Estimate","SE","LowerCI","UpperCI","z","p","Chi2","df","p_LRT"
"(Intercept)","-6.10","1.45","-19.21","-5.85","-4.20","0.000","   NA","","   NA"
"conditionclumsy","-5.40","1.83","-17.19","-2.41","-2.95","0.003","17.70","2","0.000"
"conditionteasing","-2.72","1.90"," -6.56"," 1.64","-1.43","0.152","   NA","","   NA"
"z.trial"," 0.68","0.56"," -0.71"," 4.26"," 1.21","0.228"," 1.70","1","0.192"
"z.order","-0.84","0.83"," -2.41"," 1.11","-1.01","0.313"," 1.14","1","0.287"
"z.age"," 1.42","0.68"," -0.30"," 3.33"," 2.08","0.038"," 4.33","1","0.037"
"sexM","-0.44","1.31"," -4.36"," 2.73","-0.33","0.738"," 0.11","1","0.736"
