"","Estimate","SE","LowerCI","UpperCI","z","p","Chi2","df","p_LRT"
"(Intercept)","-1.91","0.11","-2.13","-1.70","-17.10","0.000","   NA","","   NA"
"conditionclumsy","-0.44","0.11","-0.66","-0.23"," -3.98","0.000","17.65","2","0.000"
"conditionteasing","-0.38","0.11","-0.60","-0.16"," -3.40","0.001","   NA","","   NA"
"z.trial"," 0.02","0.04","-0.07"," 0.11","  0.46","0.645"," 0.21","1","0.645"
"z.order","-0.18","0.05","-0.27","-0.08"," -3.87","0.000","14.12","1","0.000"
"z.age","-0.01","0.06","-0.12"," 0.10"," -0.17","0.865"," 0.03","1","0.865"
"sexM"," 0.17","0.13","-0.08"," 0.41","  1.30","0.194"," 1.68","1","0.195"
