"","Estimate","SE","LowerCI","UpperCI","z","p","Chi2","df","p_LRT"
"(Intercept)","-2.26","0.18","-2.61","-1.93","-12.40","0.000","   NA",NA,"   NA"
"conditionunwilling"," 0.45","0.09"," 0.25"," 0.64","  4.73","0.000","19.03",1,"0.000"
"z.trial"," 0.07","0.05","-0.02"," 0.16","  1.43","0.153"," 2.03",1,"0.155"
"first_conditionunwilling"," 0.14","0.22","-0.29"," 0.54","  0.62","0.537"," 0.38",1,"0.538"
"z.age"," 0.07","0.11","-0.14"," 0.30","  0.61","0.545"," 0.36",1,"0.546"
"sexm","-0.06","0.24","-0.48"," 0.41"," -0.26","0.796"," 0.07",1,"0.796"
