"","Estimate","SE","LowerCI","UpperCI","z","p","Chi2","df","p_LRT"
"(Intercept)","-2.94","0.09","-3.15","-2.77","-31.87","0.000","  NA",NA,"   NA"
"conditionunwilling"," 0.12","0.07","-0.02"," 0.28","  1.68","0.094","2.80",1,"0.094"
"z.trial"," 0.01","0.04","-0.06"," 0.08","  0.18","0.855","0.03",1,"0.855"
"first_conditionunwilling"," 0.02","0.07","-0.13"," 0.18","  0.28","0.781","0.08",1,"0.781"
"z.age","-0.06","0.04","-0.13"," 0.01"," -1.61","0.107","2.61",1,"0.106"
"sexm","-0.03","0.08","-0.18"," 0.13"," -0.34","0.733","0.12",1,"0.733"
