"","Estimate","SE","LowerCI","UpperCI","z","p","Chi2","df","p_LRT"
"(Intercept)","-0.16","0.16","-0.48","0.14","-0.99","0.323","  NA",NA,"   NA"
"z.trial","-0.01","0.11","-0.23","0.20","-0.12","0.905","0.01",1,"0.905"
"first_conditionunwilling"," 0.19","0.22","-0.22","0.64"," 0.87","0.384","0.77",1,"0.380"
"z.age"," 0.16","0.11","-0.06","0.39"," 1.44","0.149","2.09",1,"0.148"
"sexm","-0.28","0.23","-0.76","0.18","-1.22","0.224","1.48",1,"0.225"
